Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7081,2106554,SPG240,WORKING,NA,NA,NO,NA,NO,101.32304403502901
MB 7081,2106689,SPG240,WORKING,NA,NA,NO,NA,NO,101.27797051899184
MB 7081,2093718,SPG240,WORKING,NA,NA,NO,NA,NO,101.1776225607914
MB 7081,2088886,SPG240,WORKING,NA,NA,NO,NA,NO,101.14819971487043
MB 7081,2106775,SPG240,WORKING,NA,NA,NO,NA,NO,101.05926870829369
MB 7081,2106077,SPG240,WORKING,20001172927,2024-04-25,YES,US,NO,100.94619096110729
MB 7081,2066399,SPG240,WORKING,20001172926,2024-04-25,YES,TR,NO,100.79753277494018
MB 7081,2109768,SPG240,WORKING,NA,NA,NO,NA,NO,100.66186759268565
MB 7081,2109748,SPG240,WORKING,NA,NA,NO,NA,NO,100.66046914725095
MB 7081,2106672,SPG240,WORKING,NA,NA,NO,NA,NO,100.6294162681791
MB 7081,2109800,SPG240,WORKING,NA,NA,NO,NA,NO,100.54555046881552
MB 7081,2080126,SPG240,WORKING,NA,NA,NO,NA,NO,100.51036812058693
MB 7081,2088635,SPG240,WORKING,20001172925,2024-04-25,YES,US,NO,100.48022283500117
MB 7081,2093692,SPG240,WORKING,20001172924,2024-04-25,YES,US,NO,100.42483981801985
MB 7081,2088763,SPG240,WORKING,20001172923,2024-04-25,YES,US,NO,100.23778038256715
MB 7081,2088655,SPG240,WORKING,20001172922,2024-04-25,YES,US,NO,99.79966801793134
MB 7081,2080275,SPG240,WORKING,20001172920,2024-04-25,YES,US,NO,99.74271267509454
MB 7081,2066640,SPG240,WORKING,20001172921,2024-04-25,YES,US,NO,99.73962112770349
MB 7081,2109726,SPG240,WORKING,20001172986,2024-04-26,YES,TR,NO,99.62553132300903
MB 7081,2047934,SPG240,WORKING,20001172919,2024-04-25,YES,US,NO,99.50155731913345
MB 7081,2106766,SPG240,WORKING,NA,NA,NO,NA,NO,99.49000637888861
MB 7081,2093848,SPG240,WORKING,20001172918,2024-04-25,YES,US,NO,99.42774935793815
MB 7081,2047793,SPG240,WORKING,NA,NA,NO,NA,NO,98.81575452730348
MB 7081,2080097,SPG240,WORKING,NA,NA,NO,NA,NO,98.79667756235641
MB 7081,2079991,SPG240,WORKING,20001172917,2024-04-25,YES,US,NO,98.72224490993207
MB 7081,2047263,SPG240,WORKING,20001172916,2024-04-25,YES,US,NO,98.32300410399183
MB 7081,2080000,SPG240,WORKING,20001172915,2024-04-25,YES,US,NO,98.31266695567986
MB 7081,2106787,SPG240,WORKING,NA,NA,NO,NA,NO,98.21915301335528
MB 7081,2106790,SPG240,WORKING,NA,NA,NO,NA,NO,97.88815589070613
MB 7081,2068267,SPG240,WORKING,20001172914,2024-04-25,YES,US,NO,96.4589469994888
MB 7081,2066764,SPG910,WORKING,NA,NA,NO,NA,NO,NA
MB 7081,2105126,SPG910,WORKING,NA,NA,NO,NA,NO,NA
MB 7081,2105146,SPG910,WORKING,NA,NA,NO,NA,NO,NA
MB 7082,64439,PICL02,WORKING,20001171506,2024-04-22,YES,US,YES,156
MB 7082,70461,PICL02,WORKING,20001171504,2024-04-22,YES,US,YES,154
MB 7082,70415,PICL02,WORKING,20001171507,2024-04-22,YES,US,YES,152
MB 7082,70473,PICL02,WORKING,20001171511,2024-04-22,YES,US,YES,149
MB 7082,70454,PICL02,WORKING,20001171510,2024-04-22,YES,US,YES,147
MB 7082,70472,PICL02,WORKING,20001171505,2024-04-22,YES,US,YES,145
MB 7082,64447,PICL02,WORKING,20001171558,2024-04-24,YES,US,YES,144
MB 7082,70464,PICL02,WORKING,20001171555,2024-04-24,YES,US,YES,144
MB 7082,70269,PICL02,WORKING,20001171515,2024-04-22,YES,US,YES,143
MB 7082,64438,PICL02,WORKING,20001171614,2024-04-26,YES,TR,NO,142
MB 7082,64448,PICL02,WORKING,20001171514,2024-04-22,YES,US,YES,141
MB 7082,70387,PICL02,WORKING,20001171509,2024-04-22,YES,US,YES,141
MB 7082,70438,PICL02,WORKING,20001171512,2024-04-22,YES,US,YES,141
MB 7082,70394,PICL02,WORKING,20001171513,2024-04-22,YES,US,YES,140
MB 7082,64442,PICL02,WORKING,20001171615,2024-04-26,YES,US,YES,139
MB 7082,64444,PICL02,WORKING,20001171560,2024-04-24,YES,US,YES,139
MB 7082,70474,PICL02,WORKING,20001171562,2024-04-24,YES,US,YES,139
MB 7082,70477,PICL02,WORKING,20001171516,2024-04-22,YES,US,YES,139
MB 7082,70478,PICL02,WORKING,20001171556,2024-04-24,YES,US,YES,139
MB 7082,70480,PICL02,WORKING,20001171616,2024-04-26,YES,US,YES,139
MB 7082,70422,PICL02,WORKING,20001171620,2024-04-26,YES,US,YES,138
MB 7082,70305,PICL02,WORKING,20001171617,2024-04-26,YES,US,YES,137
MB 7082,70340,PICL02,WORKING,20001171561,2024-04-24,YES,US,YES,137
MB 7082,70465,PICL02,WORKING,20001171563,2024-04-24,YES,US,YES,137
MB 7082,64440,PICL02,WORKING,20001171557,2024-04-24,YES,US,YES,136
