Boar Stud,Inventory,Target,Inventory to target,Average Inventory,Total Non-Genetic Removals,% Non-Genetic Removals,14 Day Rest,Batches,Incomplete Batches,Missing Scores,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Total Boars in Stud,Treated Boars,Treatment Rate,actual,target,Missed Index,WeekCommencing,yrwk,Collections,Treatments,Lutalyse Usage,scores,% Missing Scores,% 14 Day Rest,TScore,RScore,PScore,LScorea,LScoreb,LScore,Total
MB 7082,180,200,90,189.6153846153846,0,0,1,28,0,0,0,0,0,0,0,0,180,1.2307692307692308,0.6837606837606838,102.60284509992576,109.18278355194694,7.534667867424844,19716,202352,52,3,5.769230769230769,168,0,0.5555555555555556,3,3,2,1,1,1,9
MB 7092,456,250,182.4,504.6923076923077,30,23.776863283036125,0,56,0,0,0,0,0,0,0,0,456,8.692307692307692,1.9062078272604588,104.09835366718988,106.12783245247319,2.0294787852833025,19716,202352,353,14,3.9660056657223794,336,0,0,3,3,2,2,2,2,10
MB 7093,467,450,103.77777777777777,450.3076923076923,41,36.41954219337205,15,44,0,0,0,0,0,0,0,0,467,0.6153846153846154,0.13177400757700544,106.33589782132283,106.34014994506488,0.004252124,19716,202352,302,1,0.33112582781456956,264,0,3.2119914346895073,3,2,2,2,2,2,9
MB 7094,469,450,104.22222222222221,473.38461538461536,34,28.729281767955804,2,47,0,0,0,0,0,0,0,0,469,2.8461538461538463,0.6068558307364278,103.48420616768313,105.37395507874994,1.8897489110668175,19716,202352,332,0,0,282,0,0.42643923240938164,3,3,2,2,0,0,8
MBW Cimarron,318,399,79.69924812030075,316.15384615384613,3,3.795620437956205,0,28,0,0,0,0,0,0,0,0,318,2.769230769230769,0.8708272859216255,105.1162950899257,105.1162950899257,0,19716,202352,195,11,5.641025641025641,168,0,0,3,3,2,1,1,1,9
MBW Cyclone,358,403,88.83374689826302,355.3076923076923,15,16.886772028577614,0,40,0,0,0,0,0,0,0,0,358,3.6153846153846154,1.0098839707778255,108.69991711784031,108.98616887919758,0.5756628667574712,19716,202352,249,17,6.827309236947792,240,0,0,3,3,2,1,1,1,9
MBW Yuma,155,203,76.35467980295566,162,5,12.345679012345679,0,17,0,0,0,0,0,0,0,0,155,2.3846153846153846,1.5384615384615383,104.46757520929137,104.46757520929137,0.25471698113207547,19716,202352,127,2,1.574803149606299,102,0,0,3,3,2,2,2,2,10
Skyline Boar Stud,249,200,124.50000000000001,231.53846153846155,11,19.003322259136212,0,15,0,0,0,0,0,0,0,0,249,0.3076923076923077,0.1235712079085573,104.47017756484601,106.04677448732215,2.3955034074140586,19716,202352,176,0,0,90,0,0,3,3,2,2,0,2,10
SPGNC,180,220,81.81818181818183,176.15384615384616,15,34.061135371179034,4,57,1,1,0,0,0,0,0,1,180,2.923076923076923,1.6239316239316237,113.52867753846651,115.15926805838035,1.630590519913838,19716,202352,108,5,4.62962963,342,0.29239766081871343,2.2222222222222223,3,2,2,2,2,2,9
SPGVA,253,292,86.64383561643835,261.46153846153845,9,13.768755516328332,1,72,0,0,0,0,0,0,0,0,253,2.076923076923077,0.8209182122225602,113.66254788729364,116.17409460476682,4.426866377399725,19716,202352,115,1,0.8695652173913043,432,0,0.3952569169960474,3,3,2,2,2,2,10
MB 7081,226,200,112.99999999999999,218.07692307692307,8,14.673721340388008,1,30,0,0,0,0,0,0,0,0,226,1.6153846153846154,0.7147719537100068,106.83579285714048,106.83579285714048,0,19723,202401,92,3,3.260869565217391,180,0,0.4424778761061947,3,3,2,2,2,2,10
MB 7082,180,200,90,188.76923076923077,0,0,2,27,0,0,0,0,0,0,0,0,180,1.2307692307692308,0.6837606837606838,106.87333521377782,106.87333521377782,0,19723,202401,77,3,3.896103896103896,162,0,1.1111111111111112,3,3,2,2,2,2,10
MB 7092,449,250,179.6,502,30,23.904382470119522,0,45,0,0,0,0,0,0,0,0,449,8.692307692307692,1.935925989378105,106.91561994323662,106.98688755030753,0.071267607,19723,202401,356,20,5.617977528089887,270,0,0,3,3,2,1,1,1,9
MB 7093,463,450,102.8888888888889,450.3076923076923,42,37.307823710283564,15,38,0,0,0,0,0,0,0,0,464,0.6923076923076923,0.14920424403183022,105.06701543254621,105.19908364683542,0.13206821428920534,19723,202401,299,1,0.33444816053511706,228,0,3.2397408207343417,3,2,2,2,2,2,9
