Boar Stud,Boars Culled,Low Index Culls,WeekCommencing
MBW Cyclone,2,0,12/13/2020
MBW Yuma,1,0,12/13/2020
Norson,1,0,12/13/2020
Prestage MS,20,8,12/13/2020
Princeton,3,3,12/13/2020
SPGTX,1,0,12/13/2020
SPGVA,30,19,12/13/2020
MBW Cimarron,1,0,12/20/2020
MBW Cyclone,1,0,12/20/2020
Norson,1,0,12/20/2020
Princeton,2,2,12/20/2020
MB 7082,26,16,12/27/2020
MB 7094,42,29,12/27/2020
MBW Yuma,7,0,12/27/2020
Norson,1,0,12/27/2020
Princeton,3,3,12/27/2020
SPGNC,27,23,12/27/2020
High Desert,22,12,1/3/2021
MB 7092,27,14,1/3/2021
MBW Cimarron,35,16,1/3/2021
MBW Cyclone,1,0,1/3/2021
MBW Yuma,2,2,1/3/2021
Norson,1,0,1/3/2021
MB 7081,35,23,1/10/2021
MBW Yuma,2,2,1/10/2021
Norson,1,0,1/10/2021
Princeton,3,3,1/10/2021
GCM23-4,48,17,1/17/2021
High Desert,1,1,1/17/2021
MB 7093,1,0,1/17/2021
MBW Cimarron,1,0,1/17/2021
MBW Cyclone,5,0,1/17/2021
MBW Yuma,4,4,1/17/2021
Norson,25,0,1/17/2021
Princeton,38,26,1/17/2021
SPGVA,26,25,1/17/2021
GCM23-4,16,5,1/24/2021
High Desert,1,0,1/24/2021
Ingold,27,4,1/24/2021
MB 7093,23,9,1/24/2021
MBW Cimarron,3,0,1/24/2021
MBW Yuma,6,0,1/24/2021
Norson,1,0,1/24/2021
Princeton,36,31,1/24/2021
Skyline Boar Stud,50,40,1/24/2021
Clinton,33,8,1/31/2021
High Desert,2,0,1/31/2021
MB 7082,40,26,1/31/2021
MBW Cimarron,1,0,1/31/2021
MBW Cyclone,1,0,1/31/2021
MBW Yuma,3,0,1/31/2021
Norson,1,0,1/31/2021
SPGNC,26,21,1/31/2021
MBW Cyclone,1,0,2/7/2021
Norson,1,0,2/7/2021
Prestage MS,20,5,2/7/2021
Princeton,2,2,2/7/2021
MB 7081,29,11,2/14/2021
MB 7094,25,13,2/14/2021
MBW Cyclone,1,1,2/14/2021
MBW Yuma,8,4,2/14/2021
Norson,1,0,2/14/2021
Princeton,1,0,2/14/2021
MBW Cimarron,33,24,2/21/2021
MBW Cyclone,2,0,2/21/2021
MBW Yuma,1,0,2/21/2021
Norson,1,0,2/21/2021
Princeton,3,3,2/21/2021
SPGTX,59,59,2/21/2021
SPGVA,47,32,2/21/2021
