Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,SPG240,104.1767452599221,104.1767452599221,0,2021-03-15
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,SPG240,0,0,0,2021-03-22
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-03-29
High Desert,SPG240,0,0,0,2021-03-29
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-05
High Desert,SPG240,122.91459766465823,128.03508122924106,5.120483564582827,2021-04-05
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-05
High Desert,SPG240,0,0,0,2021-04-05
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-12
High Desert,SPG240,100.57613281739022,100.65203655318453,0.07590373579431287,2021-04-12
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-19
High Desert,SPG240,100.18679765530982,107.49225823032286,7.3054605750130435,2021-04-19
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-12
High Desert,SPG240,100.50477332950608,100.50477332950608,0,2021-04-12
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-19
High Desert,SPG240,0,0,0,2021-04-19
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-04-26
High Desert,SPG240,0,0,0,2021-04-26
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-05-03
High Desert,SPG240,0,0,0,2021-05-03
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-05-10
High Desert,SPG240,100.50063937664596,100.50063937664596,0,2021-05-10
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-05-17
High Desert,SPG240,0,0,0,2021-05-17
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,NA,NA,NA,2021-05-24
High Desert,SPG240,0,0,0,2021-05-24
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,102.51219512195122,102.51219512195122,0,2021-05-31
High Desert,SPG240,0,0,0,2021-05-31
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,102.51219512195122,102.51219512195122,0,2021-05-31
High Desert,SPG240,0,0,0,2021-05-31
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,101.78048780487805,101.78048780487805,0,2021-06-07
High Desert,SPG240,100.59881361824885,100.59881361824885,0,2021-06-07
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,100.51428571428572,100.51428571428572,0,2021-06-14
High Desert,SPG240,0,0,0,2021-06-14
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,101.11904761904762,102.28571428571429,1.1666666666666714,2021-06-21
High Desert,SPG240,0,0,0,2021-06-21
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,101.11904761904762,102.28571428571429,1.1666666666666714,2021-06-21
High Desert,SPG240,0,0,0,2021-06-21
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,100.14285714285714,101.48571428571428,1.3428571428571416,2021-06-28
High Desert,SPG240,0,0,0,2021-06-28
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,100.14285714285714,101.48571428571428,1.3428571428571416,2021-07-05
High Desert,SPG240,0,0,0,2021-07-05
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,100.14285714285714,101.48571428571428,1.3428571428571416,2021-07-05
High Desert,SPG240,0,0,0,2021-07-05
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,101.67441860465117,101.67441860465117,0,2021-07-12
High Desert,SPG240,102.07422629556261,102.07422629556261,0,2021-07-12
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,102.35,102.55,0.20000000000000284,2021-07-19
High Desert,SPG240,0,0,0,2021-07-19
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,102.35,102.55,0.20000000000000284,2021-07-19
High Desert,SPG240,0,0,0,2021-07-19
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,100.23255813953489,100.23255813953489,0,2021-07-26
High Desert,SPG240,0,0,0,2021-07-26
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,99.46666666666667,99.46666666666667,0,2021-08-02
High Desert,SPG240,0,0,0,2021-08-02
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,99.06666666666666,99.06666666666666,0,2021-08-09
High Desert,SPG240,101.36859273410373,101.36859273410373,0,2021-08-09
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,98.6046511627907,98.6046511627907,0,2021-08-16
High Desert,SPG240,0,0,0,2021-08-16
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
High Desert,DNA400,98.27906976744185,98.27906976744185,0,2021-08-23
High Desert,SPG240,0,0,0,2021-08-23
Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
