Boar Stud,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,rank,rankp
MB 7093,2088422,SPG240,WORKING,2023-07-24,NA,NA,89.6861926706853,209,0.0793168880455408
MB 7093,2088443,SPG240,WORKING,2023-07-24,NA,NA,87.23069390032823,125,0.04743833017077799
MB 7093,2088474,SPG240,WORKING,2023-07-24,NA,NA,90.83336763004937,245,0.09297912713472485
MB 7093,2089093,SPG240,WORKING,2023-07-24,NA,NA,87.89669161989197,144,0.05464895635673624
MB 7093,2089123,SPG240,WORKING,2023-07-24,NA,NA,86.34060565389002,101,0.038330170777988615
MB 7093,2089163,SPG240,WORKING,2023-07-24,NA,NA,86.46677526504641,105,0.03984819734345351
MB 7093,2089434,SPG240,NONWORKING,2023-09-12,NA,NA,90.94530726604566,247,0.0937381404174573
MB 7093,6836E,SPG240,WORKING,2020-03-16,NA,NA,84.44890582473231,61,0.02314990512333966
MB 7094,2059469,SPG240,WORKING,2023-01-30,NA,NA,89.68648292408359,210,0.07969639468690702
MB 7094,2064092,SPG240,WORKING,2023-01-30,NA,NA,81.45313226165855,27,0.010246679316888045
MB 7094,2064167,SPG240,WORKING,2023-01-30,NA,NA,85.97920746182486,89,0.03377609108159393
MB 7094,2064170,SPG240,WORKING,2023-01-30,NA,NA,82.76798702270861,43,0.01631878557874763
MB 7094,2064209,SPG240,WORKING,2023-01-30,NA,NA,89.37291895635536,196,0.07438330170777989
MB 7094,2064217,SPG240,WORKING,2023-01-30,NA,NA,88.25281527817495,157,0.059582542694497156
MB 7094,2064381,SPG240,WORKING,2023-01-30,NA,NA,90.53234070537539,238,0.09032258064516129
MB 7094,2064404,SPG240,WORKING,2023-01-30,NA,NA,85.55716025560972,79,0.029981024667931688
MB 7094,2064414,SPG240,WORKING,2023-01-30,NA,NA,83.1884894125931,51,0.01935483870967742
MB 7094,2064436,SPG240,WORKING,2023-01-30,NA,NA,82.67368163827214,42,0.015939278937381403
MB 7094,2064437,SPG240,WORKING,2023-01-30,NA,NA,87.28867868864346,127,0.048197343453510434
MB 7094,2064455,SPG240,WORKING,2023-01-30,NA,NA,90.31081583113766,226,0.0857685009487666
MB 7094,2064532,SPG240,WORKING,2023-01-30,NA,NA,89.33782610299104,193,0.07324478178368121
MB 7094,2064630,SPG240,WORKING,2023-01-30,NA,NA,89.10604743129487,188,0.0713472485768501
MB 7094,2064647,SPG240,WORKING,2023-01-30,NA,NA,91.08116073081365,252,0.09563567362428843
MB 7094,2064700,SPG240,WORKING,2023-01-30,NA,NA,79.8462394092509,16,0.0060721062618595825
MB 7094,2064703,SPG240,WORKING,2023-01-30,NA,NA,81.42990408266637,26,0.009867172675521821
MB 7094,2064711,SPG240,WORKING,2023-01-30,NA,NA,88.24181999097968,156,0.05920303605313093
MB 7094,2064727,SPG240,WORKING,2023-01-30,NA,NA,81.4876672883549,29,0.011005692599620493
MB 7094,2064755,SPG240,WORKING,2023-01-30,NA,NA,88.69243942024076,173,0.06565464895635674
MB 7094,2064774,SPG240,WORKING,2023-01-30,NA,NA,90.01314626619249,218,0.08273244781783681
MB 7094,2064834,SPG240,WORKING,2023-01-30,NA,NA,87.20891362040776,124,0.047058823529411764
MB 7094,2064906,SPG240,WORKING,2023-01-30,NA,NA,86.31856961685955,100,0.03795066413662239
MB 7094,2065130,SPG240,WORKING,2023-03-14,NA,NA,85.33851812293487,75,0.028462998102466792
MB 7094,2065162,SPG240,WORKING,2023-03-14,NA,NA,88.28082185085316,158,0.059962049335863375
MB 7094,2065262,SPG240,WORKING,2023-03-14,NA,NA,88.68094011549904,172,0.06527514231499051
MB 7094,2065265,SPG240,WORKING,2023-03-14,NA,NA,87.7139317639865,136,0.05161290322580645
MB 7094,2065288,SPG240,WORKING,2023-03-14,NA,NA,85.76609831393156,85,0.03225806451612903
MB 7094,2065307,SPG240,WORKING,2023-03-14,NA,NA,87.98851113249978,150,0.056925996204933584
MB 7094,2065468,SPG240,WORKING,2023-03-14,NA,NA,85.69715564330413,83,0.03149905123339659
MB 7094,2065489,SPG240,WORKING,2023-03-14,NA,NA,89.67842451467159,207,0.07855787476280834
MB 7094,2065613,SPG240,WORKING,2023-03-14,NA,NA,86.08163185038985,90,0.03415559772296015
MB 7094,2065622,SPG240,WORKING,2023-03-14,NA,NA,88.5971133198603,170,0.06451612903225806
MB 7094,2065654,SPG240,WORKING,2023-03-14,NA,NA,91.29546517318924,262,0.09943074003795066
MB 7094,2065678,SPG240,WORKING,2023-04-11,NA,NA,89.4111302326355,198,0.07514231499051234
MB 7094,2065765,SPG240,WORKING,2023-04-11,NA,NA,90.42660766206416,229,0.08690702087286528
MB 7094,2065767,SPG240,WORKING,2023-04-11,NA,NA,84.97599447597342,70,0.026565464895635674
MB 7094,2065838,SPG240,WORKING,2023-04-11,NA,NA,82.35176094014432,38,0.014421252371916509
MB 7094,2065842,SPG240,WORKING,2023-04-11,NA,NA,88.44002029586298,166,0.06299810246679317
MB 7094,2065850,SPG240,WORKING,2023-04-11,NA,NA,80.82669942074712,23,0.00872865275142315
MB 7094,2065868,SPG240,WORKING,2023-04-11,NA,NA,83.17437061240041,50,0.018975332068311195
MB 7094,2065894,SPG240,WORKING,2023-04-11,NA,NA,91.254160644744,259,0.098292220113852
MB 7094,2067060,SPG240,WORKING,2023-01-30,NA,NA,79.72818395350912,15,0.0056925996204933585
MB 7094,2067069,SPG240,WORKING,2023-01-30,NA,NA,87.85557639937095,142,0.05388994307400379
MB 7094,2067204,SPG240,WORKING,2023-01-30,NA,NA,86.28562955522588,97,0.03681214421252372
MB 7094,2067238,SPG240,WORKING,2023-01-30,NA,NA,88.43232183796579,164,0.06223908918406072
MB 7094,2067242,SPG240,WORKING,2023-01-30,NA,NA,87.08494819013248,119,0.04516129032258064
MB 7094,2067243,SPG240,WORKING,2023-01-30,NA,NA,87.74171175615025,137,0.05199240986717268
MB 7094,2067326,SPG240,WORKING,2023-01-30,NA,NA,91.04582638674084,250,0.09487666034155598
MB 7094,2067510,SPG240,WORKING,2023-01-30,NA,NA,78.79581156131218,13,0.004933586337760911
MB 7094,2067521,SPG240,WORKING,2023-01-30,NA,NA,77.84925333204036,10,0.003795066413662239
MB 7094,2067522,SPG240,WORKING,2023-01-30,NA,NA,78.62008204130791,12,0.004554079696394687
MB 7094,2067523,SPG240,WORKING,2023-01-30,NA,NA,86.79676591127635,110,0.04174573055028463
MB 7094,2067524,SPG240,WORKING,2023-01-30,NA,NA,88.88794449559059,179,0.06793168880455408
MB 7094,2067525,SPG240,WORKING,2023-01-30,NA,NA,76.20488431496061,5,0.0018975332068311196
MB 7094,2067580,SPG240,WORKING,2023-01-30,NA,NA,80.3801033605584,19,0.007210626185958254
MB 7094,2067671,SPG240,WORKING,2023-01-30,NA,NA,90.1167193916087,223,0.08462998102466793
MB 7094,2068611,SPG240,WORKING,2023-04-11,NA,NA,91.07296663016879,251,0.0952561669829222
MB 7094,2069282,SPG240,WORKING,2023-01-30,NA,NA,86.37661002987647,104,0.039468690702087285
MB 7094,2069288,SPG240,WORKING,2023-01-30,NA,NA,90.073437609228,220,0.08349146110056926
MB 7094,2069333,SPG240,WORKING,2023-01-30,NA,NA,87.8461477347576,141,0.05351043643263757
MB 7094,2069393,SPG240,WORKING,2023-01-30,NA,NA,80.88718114730253,24,0.009108159392789373
MB 7094,2069436,SPG240,WORKING,2023-01-30,NA,NA,80.39471754787533,20,0.007590132827324478
MB 7094,2069448,SPG240,WORKING,2023-01-30,NA,NA,77.56787713545187,9,0.003415559772296015
MB 7094,2069546,SPG240,WORKING,2023-01-30,NA,NA,90.52500251334823,236,0.08956356736242885
MB 7094,2069558,SPG240,WORKING,2023-01-30,NA,NA,91.30370928309246,263,0.09981024667931689
MB 7094,2069601,SPG240,WORKING,2023-01-30,NA,NA,83.48982139635662,54,0.02049335863377609
MB 7094,2069630,SPG240,WORKING,2023-01-30,NA,NA,88.83613801889064,178,0.06755218216318785
MB 7094,2069646,SPG240,WORKING,2023-01-30,NA,NA,87.95870108845924,148,0.05616698292220114
MB 7094,2069654,SPG240,WORKING,2023-01-30,NA,NA,81.93281371150226,33,0.012523719165085389
MB 7094,2069655,SPG240,WORKING,2023-01-30,NA,NA,81.46092234129225,28,0.01062618595825427
MB 7094,2069715,SPG240,WORKING,2023-01-30,NA,NA,82.22122936283016,36,0.01366223908918406
MB 7094,2069735,SPG240,WORKING,2023-01-30,NA,NA,89.36083737345814,195,0.07400379506641366
MB 7094,2069748,SPG240,WORKING,2023-01-30,NA,NA,84.15883330797551,59,0.022390891840607212
MB 7094,2069763,SPG240,WORKING,2023-01-30,NA,NA,87.61251242441415,133,0.05047438330170778
MB 7094,2069776,SPG240,WORKING,2023-01-30,NA,NA,89.54299427330233,203,0.07703984819734346
MB 7094,2079500,SPG240,WORKING,2023-04-11,NA,NA,81.51760683427307,31,0.011764705882352941
MB 7094,2079526,SPG240,WORKING,2023-04-11,NA,NA,82.52685773127723,39,0.014800759013282733
MB 7094,2080694,SPG240,WORKING,2023-06-26,NA,NA,83.19326309100008,52,0.019734345351043642
MB 7094,2080780,SPG240,WORKING,2023-06-26,NA,NA,82.20027562870446,35,0.013282732447817837
MB 7094,2080801,SPG240,WORKING,2023-06-26,NA,NA,86.12105440931288,91,0.03453510436432638
MB 7094,2080975,SPG240,WORKING,2023-06-26,NA,NA,88.46986872975653,168,0.06375711574952561
MB 7094,2081029,SPG240,WORKING,2023-06-26,NA,NA,79.53409616129811,14,0.005313092979127135
MB 7094,2081038,SPG240,WORKING,2023-06-26,NA,NA,90.73126193118362,244,0.09259962049335864
MB 7094,2081072,SPG240,WORKING,2023-06-26,NA,NA,85.39421234664583,77,0.02922201138519924
MB 7094,2081131,SPG240,WORKING,2023-06-26,NA,NA,90.41515095443826,228,0.08652751423149906
MB 7094,2081208,SPG240,WORKING,2023-06-26,NA,NA,83.84820093627171,57,0.021631878557874764
MB 7094,2081285,SPG240,WORKING,2023-06-26,NA,NA,89.89115542679495,215,0.08159392789373814
MB 7094,2081305,SPG240,WORKING,2023-06-26,NA,NA,87.46321110557851,130,0.04933586337760911
MB 7094,2081336,SPG240,WORKING,2023-06-26,NA,NA,88.18104747690438,155,0.058823529411764705
MB 7094,2081436,SPG240,WORKING,2023-06-26,NA,NA,91.24418590254392,257,0.09753320683111955
MBW Cimarron,16122,DNA200,WORKING,2021-10-25,NA,NA,94,1,0.07142857142857142
MBW Cimarron,2037104,SPG240,NONWORKING,2021-11-29,NA,NA,88.63494956551439,171,0.06489563567362429
MBW Cimarron,2037194,SPG240,NONWORKING,2021-11-29,NA,NA,82.85411805441841,45,0.017077798861480076
MBW Cimarron,2037211,SPG240,NONWORKING,2021-11-29,NA,NA,85.39167750218532,76,0.028842504743833017
MBW Cimarron,2050818,SPG240,NONWORKING,2022-06-02,NA,NA,87.07849822044716,118,0.044781783681214424
MBW Cimarron,2050900,SPG240,NONWORKING,2022-06-02,NA,NA,89.10305634206148,187,0.07096774193548387
MBW Cimarron,2052514,SPG240,WORKING,2022-06-02,NA,NA,88.92779505994363,180,0.0683111954459203
MBW Cimarron,2052582,SPG240,NONWORKING,2022-06-02,NA,NA,83.66029333742725,56,0.02125237191650854
MBW Cimarron,2052813,SPG240,NONWORKING,2022-06-02,NA,NA,87.63713833709512,134,0.05085388994307401
MBW Cimarron,2052918,SPG240,NONWORKING,2022-06-02,NA,NA,85.08103979970134,72,0.02732447817836812
MBW Cimarron,2058980,SPG240,NONWORKING,2022-12-26,NA,NA,84.70184339422627,66,0.025047438330170778
MBW Cimarron,2058983,SPG240,NONWORKING,2022-12-26,NA,NA,86.82459921848282,112,0.04250474383301708
MBW Cimarron,2059223,SPG240,NONWORKING,2022-12-26,NA,NA,84.2454430399423,60,0.022770398481973434
MBW Cimarron,2059263,SPG240,NONWORKING,2022-12-26,NA,NA,86.89947364063029,115,0.04364326375711575
MBW Cimarron,2059286,SPG240,WORKING,2022-12-26,NA,NA,91.13750355912919,253,0.09601518026565464
MBW Cimarron,2059442,SPG240,NONWORKING,2022-12-26,NA,NA,85.65784992259248,82,0.03111954459203036
MBW Cimarron,2059539,SPG240,NONWORKING,2022-12-26,NA,NA,87.14011866704416,122,0.04629981024667932
MBW Cimarron,2059597,SPG240,NONWORKING,2022-12-26,NA,NA,84.69305419033668,65,0.024667931688804556
