Norson,1,0,2020-09-27
Princeton,47,19,2020-09-27
MBW Cimarron,2,0,2020-10-04
MBW Cyclone,1,0,2020-10-04
MBW Yuma,5,4,2020-10-04
Norson,1,0,2020-10-04
Prestage MS,20,6,2020-10-04
Princeton,3,0,2020-10-04
SPGTX,1,0,2020-10-04
SPGVA,28,19,2020-10-04
MBW Cimarron,2,0,2020-10-04
MBW Cyclone,1,0,2020-10-04
MBW Yuma,5,4,2020-10-04
Norson,1,0,2020-10-04
Prestage MS,20,6,2020-10-04
Princeton,3,0,2020-10-04
SPGTX,1,0,2020-10-04
SPGVA,28,19,2020-10-04
Ingold,19,3,2020-10-11
MB 7094,30,7,2020-10-11
MBW Cyclone,1,1,2020-10-11
MBW Yuma,5,5,2020-10-11
Norson,1,0,2020-10-11
SPGTX,3,2,2020-10-11
MB 7082,20,9,2020-10-18
MB 7092,31,20,2020-10-18
MBW Cyclone,2,1,2020-10-18
Norson,1,0,2020-10-18
Princeton,2,1,2020-10-18
SPGNC,27,16,2020-10-18
MB 7093,46,31,2020-10-25
MBW Cyclone,1,1,2020-10-25
MBW Yuma,6,5,2020-10-25
Norson,1,0,2020-10-25
Princeton,2,0,2020-10-25
MB 7093,46,31,2020-10-25
MBW Cyclone,1,1,2020-10-25
MBW Yuma,6,5,2020-10-25
Norson,1,0,2020-10-25
Princeton,2,0,2020-10-25
MB 7081,20,17,2020-11-01
MBW Cimarron,1,0,2020-11-01
MBW Cyclone,16,15,2020-11-01
MBW Yuma,2,1,2020-11-01
Norson,30,0,2020-11-01
Princeton,5,1,2020-11-01
SPGTX,3,1,2020-11-01
Clinton,39,10,2020-11-08
MBW Cyclone,1,0,2020-11-08
Norson,1,0,2020-11-08
Princeton,2,1,2020-11-08
SPGTX,18,18,2020-11-08
SPGVA,30,17,2020-11-08
High Desert,1,0,2020-11-15
MBW Cyclone,2,0,2020-11-15
MBW Yuma,1,0,2020-11-15
Norson,1,0,2020-11-15
Princeton,3,1,2020-11-15
SPGTX,17,13,2020-11-15
High Desert,13,4,2020-11-22
MB 7082,39,14,2020-11-22
MBW Cyclone,3,0,2020-11-22
MBW Yuma,1,0,2020-11-22
Norson,2,0,2020-11-22
Princeton,1,0,2020-11-22
SPGNC,24,23,2020-11-22
SPGTX,1,1,2020-11-22
High Desert,13,4,2020-11-22
MB 7082,39,14,2020-11-22
MBW Cyclone,3,0,2020-11-22
MBW Yuma,1,0,2020-11-22
Norson,2,0,2020-11-22
Princeton,1,0,2020-11-22
SPGNC,24,23,2020-11-22
SPGTX,1,1,2020-11-22
High Desert,13,4,2020-11-22
MB 7082,39,19,2020-11-22
MBW Cyclone,3,0,2020-11-22
MBW Yuma,1,0,2020-11-22
Norson,2,0,2020-11-22
Princeton,1,0,2020-11-22
SPGNC,24,23,2020-11-22
SPGTX,1,1,2020-11-22
High Desert,13,4,2020-11-22
