Boar Stud,Inventory,Target,Inventory to target,boars,dist,actual,WeekCommencing,target,Missed Index,yrwk,Average Days Rest,Standard Deviation,Total Boars Culled,% Boars Culled in Bottom 25%,Total Boars,Boars Trained Within 14 Days,Percent Trained,% Boars Distributed,Average Inventory,rate,IScore,TScore,DScore,BScore,Total,wk,qt,yr,Month
SPGNC,218,220,99.09090909,88,46,126.4531805,2/16/1949,126.7544543,0.301273778,201908,8.688622754,2.971560362,0,0,123,109,88.61788618,52.27272727,0,0,3,0,2,2,7,8,1,2019,February
High Desert,162,150,108,118,67,124.9401127,2/23/1949,124.9474483,0.007335642,201909,8.315384615,2.391958801,0,0,45,42,93.33333333,56.77966102,0,0,3,3,2,3,11,9,1,2019,March
MB 7081,219,220,99.54545455,127,100,124.1829115,2/23/1949,124.267388,0.084476538,201909,7.521212121,1.809823731,0,0,123,110,89.43089431,78.74015748,0,0,3,2,3,2,10,9,1,2019,March
MB 7082,220,220,100,109,88,124.2422907,2/23/1949,124.3041911,0.061900428,201909,9.794736842,6.187970382,0,0,102,79,77.45098039,80.73394495,0,0,3,2,1,1,7,9,1,2019,March
MB 7092,592,600,98.66666667,543,442,123.6117354,2/23/1949,123.9283481,0.316612698,201909,6.383474576,1.658530738,0,0,140,138,98.57142857,81.39963168,0,0,3,0,3,3,9,9,1,2019,March
MB 7093,496,500,99.2,496,487,123.5016862,2/23/1949,123.5466792,0.044992992,201909,5.320328542,1.564806321,0,0,90,88,97.77777778,98.18548387,0,0,3,3,2,3,11,9,1,2019,March
MBW Cimarron,221,200,110.5,178,108,124.606329,2/23/1949,124.7753544,0.169025352,201909,7.427083333,1.347829682,0,0,80,70,87.5,60.6741573,0,0,3,0,3,2,8,9,1,2019,March
MBW Cyclone,194,200,97,178,173,124.0863923,2/23/1949,124.161917,0.075524731,201909,7.175531915,1.405123259,0,0,99,76,76.76767677,97.19101124,0,0,3,2,3,1,9,9,1,2019,March
MBW Illinois,40,40,100,26,23,233.9490728,2/23/1949,234.9823327,1.033259907,201909,6.863636364,1.4895015,0,0,15,9,60,88.46153846,0,0,3,0,3,0,6,9,1,2019,March
MBW Yuma,192,210,91.42857143,163,131,124.1891553,2/23/1949,124.193345,0.004189682,201909,7.293193717,0.850947311,0,0,79,74,93.67088608,80.36809816,0,0,3,3,3,3,12,9,1,2019,March
Princeton,449,428,104.9065421,414,347,124.2272154,2/23/1949,124.4161061,0.188890731,201909,7.697160883,1.665859193,0,0,167,61,36.52694611,83.81642512,0,0,3,0,3,0,6,9,1,2019,March
