Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index,Target,SelDate,UnSelDate
SPGNC,7781H,SPG110,WORKING,20001149061,2021-03-10,YES,US,NO,110.17540340268108,NA,NA,NA
SPGVA,7817H,SPG120,WORKING,20001175202,2021-03-09,YES,US,NO,80.48266294538352,NA,NA,NA
MB 7092,791H9,SPG240,WORKING,20001337523,2021-03-11,YES,US,YES,100.58266491179685,NA,NA,NA
MB 7092,7J504,SPG240,WORKING,20001337475,2021-03-11,YES,TR,NO,98.6482382016269,NA,NA,NA
SPGNC,8062H,SPG110,WORKING,20001149046,2021-03-09,YES,US,NO,121.23163997473071,NA,NA,NA
SPGVA,8090G,SPG110,WORKING,20001175201,2021-03-09,YES,US,NO,115.79233646346671,NA,NA,NA
MB 7092,816J6,SPG240,WORKING,20001337502,2021-03-11,YES,US,YES,108.91379255222657,NA,NA,NA
SPGNC,8187D,SPG120,WORKING,20001149073,2021-03-10,YES,US,NO,106.82714451241398,NA,NA,NA
SPGVA,8259G,SPG240,WORKING,20001175150,2021-03-09,YES,US,YES,126.2924969089432,NA,NA,NA
SPGNC,8269C,SPG240,WORKING,20001149077,2021-03-10,YES,US,NO,98.65731819643635,NA,NA,NA
MB 7092,8270C,SPG240,WORKING,20001337514,2021-03-11,YES,US,YES,102.41428480655804,NA,NA,NA
SPGNC,8281H,SPG110,WORKING,20001149008,2021-03-08,YES,US,NO,113.22239476718055,NA,NA,NA
MB 7092,8285C,SPG240,WORKING,20001337334,2021-03-08,YES,US,YES,117.57065938864666,NA,NA,NA
MB 7092,8298C,SPG240,WORKING,20001337594,2021-03-12,YES,US,YES,103.07383266679953,NA,NA,NA
MB 7092,8299C,SPG240,WORKING,20001337504,2021-03-11,YES,US,YES,109.95969241115117,NA,NA,NA
MB 7092,8303C,SPG240,WORKING,20001337589,2021-03-12,YES,US,YES,111.18038003487158,NA,NA,NA
MB 7092,8339C,SPG240,WORKING,20001337457,2021-03-10,YES,US,YES,94.84181797005488,NA,NA,NA
SPGNC,8353D,SPG110,WORKING,20001149044,2021-03-09,YES,US,NO,112.67410890071724,NA,NA,NA
MB 7092,8355C,SPG240,WORKING,20001337414,2021-03-09,YES,US,YES,107.44937711678571,NA,NA,NA
SPGVA,8356C,SPG240,WORKING,20001175173,2021-03-09,YES,US,YES,108.30790445184847,NA,NA,NA
SPGNC,8358C,SPG240,WORKING,20001149113,2021-03-11,YES,US,YES,111.6776834569172,West Trial,2021-01-25,NA
MB 7092,8409C,SPG240,WORKING,20001337592,2021-03-12,YES,US,YES,100.90018593456,NA,NA,NA
