StudName,yearweek,Minimum Concentration,Average Concentration,Minimum Morphology,Samples,Positive Samples,Bacteria %,Conc_Diff,CScore,MScore,AScore,BScore,Total,Boar Stud
7362,202318,43.21108927,66.96530483142857,60.56,7,0,0,22.96530483142857,4,1,0,1,6,SPG Farm 62
7362,202319,1.39390611,41.686376724545454,59.38,11,0,0,2.313623275454546,0,0,2,1,3,SPG Farm 62
7362,202321,29.31699293,38.44482968125,81.74,8,0,0,5.555170318750001,0,3,1,1,5,SPG Farm 62
7362,202322,37.05092358,42.95628922833333,84.6,6,0,0,1.0437107716666674,1,3,2,1,7,SPG Farm 62
7362,202323,40.153488780000004,53.42557325666667,85.89,6,0,0,9.425573256666667,4,3,0,1,8,SPG Farm 62
7362,202326,45.78465533,52.827765252,84.29,5,0,0,8.827765251999999,4,3,0,1,8,SPG Farm 62
7362,202331,12.18543724,67.13874017285714,67.92,7,0,0,23.13874017285714,0,2,0,1,3,SPG Farm 62
7362,202332,30.39614604,67.24794017142857,61.17,7,0,0,23.247940171428567,0,1,0,1,2,SPG Farm 62
7362,202333,41.50243017,54.047585118571426,50.32,7,0,0,10.047585118571426,4,0,0,1,5,SPG Farm 62
7362,202335,15.97662469,58.516631847,79.17,10,0,0,14.516631847,0,3,0,1,4,SPG Farm 62
7362,202337,46.89819574,65.66346933111112,53.89,9,0,0,21.663469331111116,4,0,0,1,5,SPG Farm 62
7362,202338,43.48087755,49.34627456222222,72.93,9,0,0,5.34627456222222,4,3,1,1,9,SPG Farm 62
7362,202339,42.08697144,46.150657385,79.43,8,0,0,2.1506573850000024,4,3,2,1,10,SPG Farm 62
7362,202340,42.31179501,49.910831515,75.65,8,0,0,5.910831514999998,4,3,1,1,9,SPG Farm 62
7362,202341,32.59941698,45.481807278750004,77.06,8,2,25,1.4818072787500043,0,3,2,0,5,SPG Farm 62
7362,202342,38.93944152,50.28553745666667,68.71,6,0,0,6.285537456666667,2,2,0,1,5,SPG Farm 62
7362,202343,44.78485422,54.21459690571429,75.46,7,0,0,10.214596905714288,4,3,0,1,8,SPG Farm 62
7362,202344,40.2434182,44.19388942285714,72.4,7,0,0,0.19388942285713995,4,3,2,1,10,SPG Farm 62
7362,202345,37.95021784,46.515995677999996,59.95,10,0,0,2.515995677999996,1,0,2,1,4,SPG Farm 62
7362,202346,39.74880636,45.23450135555556,60.52,9,0,0,1.2345013555555582,3,1,2,1,7,SPG Farm 62
7362,202347,39.16426509,45.89211028375,74.58,8,0,0,1.8921102837500001,3,3,2,1,9,SPG Farm 62
7362,202349,40.28838292,44.13286588625,68.48,8,0,0,0.13286588625000206,4,2,2,1,9,SPG Farm 62
7362,202351,37.95021784,45.5773572925,72.37,8,0,0,1.5773572924999968,1,3,2,1,7,SPG Farm 62
7362,202352,38.83727183,42.40975955285714,72.07,7,0,0,1.590240447142861,2,3,2,1,8,SPG Farm 62
7362,202402,37.51112109,41.799582586363634,81.31,11,0,0,2.200417413636366,1,3,2,1,7,SPG Farm 62
7362,202403,33.58003138,38.06368389666667,78.17,9,0,0,5.936316103333333,0,3,1,1,5,SPG Farm 62
7362,202404,39.02672194,41.48957332166667,73.42,6,0,0,2.5104266783333316,3,3,2,1,9,SPG Farm 62
7362,202405,38.03210888,40.275908577500005,82.3,8,0,0,3.7240914224999955,2,3,1,1,7,SPG Farm 62
7362,202406,41.53693585,47.244120306666666,87.01,6,0,0,3.244120306666666,4,3,1,1,9,SPG Farm 62
7362,202407,37.56436833,41.52793870666667,86.07,6,0,0,2.472061293333333,1,3,2,1,7,SPG Farm 62
7362,202408,41.86277864,49.37832213,88.43,7,0,0,5.378322130000001,4,3,1,1,9,SPG Farm 62
7362,202409,39.47996423,45.6706095125,77.28,8,0,0,1.6706095125000004,3,3,2,1,9,SPG Farm 62
7362,202410,38.40536166,43.9360607875,84.91,8,0,0,0.0639392125000029,2,3,2,1,8,SPG Farm 62
7362,202411,34.20039505,43.443534605833335,88.05,12,0,0,0.5564653941666649,0,3,2,1,6,SPG Farm 62
7362,202412,32.47168656,47.642271633,68.23,10,0,0,3.642271633,0,2,1,1,4,SPG Farm 62
7362,202413,30.92772988,39.846093648,71.07,10,0,0,4.153906352,0,3,1,1,5,SPG Farm 62
7362,202414,26.42828986,42.62101146111111,60.52,9,0,0,1.3789885388888905,0,1,2,1,4,SPG Farm 62
7362,202415,18.23457275,36.937508262222224,61.56,9,0,0,7.062491737777776,0,1,0,1,2,SPG Farm 62
7362,202416,35.97177046,41.69727725888889,69.97,9,0,0,2.3027227411111113,0,2,2,1,5,SPG Farm 62
ASKI,201344,33.9,37.22857142857143,65.1,7,2,28.57142857142857,6.771428571428572,0,2,0,0,2,MB 7092
ASKI,201345,36.2,40.385714285714286,57.6,7,7,100,3.614285714285714,0,0,1,0,1,MB 7092
ASKI,201346,31.1,36.385714285714286,56.5,7,4,57.14285714285714,7.614285714285714,0,0,0,0,0,MB 7092
ASKI,201348,32.8,35.714285714285715,52.8,7,1,14.285714285714285,8.285714285714285,0,0,0,0,0,MB 7092
ASKI,201349,46.1,51.55714285714286,67.5,7,3,42.857142857142854,7.557142857142857,4,2,0,0,6,MB 7092
ASKI,201350,45.5,52.3,68.7,7,7,100,8.299999999999997,4,2,0,0,6,MB 7092
ASKI,201351,45.8,49.08571428571428,68.4,7,3,42.857142857142854,5.085714285714282,4,2,1,0,7,MB 7092
ASKI,201352,40.6,44.214285714285715,65.5,7,0,0,0.2142857142857153,4,2,2,1,9,MB 7092
ASKI,201401,45.6,48.97142857142857,71.4,7,6,85.71428571428571,4.971428571428568,4,3,1,0,8,MB 7092
ASKI,201402,45.5,47.47142857142857,70.9,7,3,42.857142857142854,3.471428571428568,4,3,1,0,8,MB 7092
ASKI,201403,33.9,40.957142857142856,60.2,7,6,85.71428571428571,3.0428571428571445,0,1,1,0,2,MB 7092
ASKI,201404,45.1,47.971428571428575,65.4,7,4,57.14285714285714,3.971428571428575,4,2,1,0,7,MB 7092
ASKI,201405,44.8,46.18571428571428,68.6,7,0,0,2.1857142857142833,4,2,2,1,9,MB 7092
ASKI,201406,46,49,74,11,1,9.090909090909092,5,4,3,1,0,8,MB 7092
ASKI,201407,43,48,69.7,12,1,8.333333333333332,4,4,2,1,0,7,MB 7092
ASKI,201408,46,49,70.6,12,0,0,5,4,3,1,1,9,MB 7092
ASKI,201409,45,48.25,65.2,12,2,16.666666666666664,4.25,4,2,1,0,7,MB 7092
ASKI,201410,43,46.75,64.5,12,0,0,2.75,4,1,2,1,8,MB 7092
ASKI,201411,45,49.25,67.6,12,0,0,5.25,4,2,1,1,8,MB 7092
ASKI,201412,45,47.916666666666664,69.4,12,0,0,3.9166666666666643,4,2,1,1,8,MB 7092
ASKI,201413,38.9,44.016666666666666,63.2,12,0,0,0.01666666666666572,2,1,2,1,6,MB 7092
ASKI,201414,42,47,68.1,12,1,8.333333333333332,3,4,2,2,0,8,MB 7092
ASKI,201415,41,46.416666666666664,72.4,12,0,0,2.4166666666666643,4,3,2,1,10,MB 7092
ASKI,201416,38,46.583333333333336,80.5,12,0,0,2.5833333333333357,2,3,2,1,8,MB 7092
ASKI,201417,46,48,78,12,1,8.333333333333332,4,4,3,1,0,8,MB 7092
ASKI,201418,44,47.333333333333336,76.1,12,0,0,3.3333333333333357,4,3,1,1,9,MB 7092
ASKI,201419,42,46,75.8,12,1,8.333333333333332,2,4,3,2,0,9,MB 7092
ASKI,201420,40,44.666666666666664,76.2,12,2,16.666666666666664,0.6666666666666643,4,3,2,0,9,MB 7092
ASKI,201421,26,41.75,69.9,12,2,16.666666666666664,2.25,0,2,2,0,4,MB 7092
ASKI,201422,38,42.833333333333336,69.1,12,2,16.666666666666664,1.1666666666666643,2,2,2,0,6,MB 7092
ASKI,201423,43.2,46.27,72.7,10,0,0,2.270000000000003,4,3,2,1,10,MB 7092
ASKI,201424,39.2,43.96666666666667,70.7,12,1,8.333333333333332,0.03333333333333144,3,3,2,0,8,MB 7092
ASKI,201425,39.8,45.625,71.9,12,0,0,1.625,3,3,2,1,9,MB 7092
ASKI,201426,40,42.65,69.3,8,0,0,1.3500000000000014,4,2,2,1,9,MB 7092
ASKI,201427,38.8,44.925,72.4,12,2,16.666666666666664,0.9249999999999972,2,3,2,0,7,MB 7092
ASKI,201428,38.4,45.81666666666667,68.7,12,3,25,1.81666666666667,2,2,2,0,6,MB 7092
ASKI,201429,43,45.36666666666667,73.1,12,3,25,1.3666666666666671,4,3,2,0,9,MB 7092
ASKI,201430,40.6,45.18333333333333,69.2,12,2,16.666666666666664,1.18333333333333,4,2,2,0,8,MB 7092
ASKI,201431,39.4,44.325,64.4,12,2,16.666666666666664,0.32500000000000284,3,1,2,0,6,MB 7092
ASKI,201432,37.3,42.766666666666666,68.3,12,3,25,1.2333333333333343,1,2,2,0,5,MB 7092
ASKI,201433,37.8,42.858333333333334,68.9,12,2,16.666666666666664,1.1416666666666657,1,2,2,0,5,MB 7092
ASKI,201434,39.6,44.71666666666667,67.2,12,0,0,0.7166666666666686,3,2,2,1,8,MB 7092
ASKI,201435,37.7,43.108333333333334,54.8,12,3,25,0.8916666666666657,1,0,2,0,3,MB 7092
ASKI,201436,37.6,43.93333333333333,61.9,12,2,16.666666666666664,0.06666666666666998,1,1,2,0,4,MB 7092
ASKI,201437,40.9,44.30833333333334,58.9,12,0,0,0.3083333333333371,4,0,2,1,7,MB 7092
ASKI,201438,37.6,42.09166666666667,55.7,12,0,0,1.9083333333333314,1,0,2,1,4,MB 7092
ASKI,201439,37.1,42.625,66.1,12,0,0,1.375,1,2,2,1,6,MB 7092
ASKI,201440,7.2,36.55,37.3,12,4,33.33333333333333,7.450000000000003,0,0,0,0,0,MB 7092
ASKI,201441,35.8,40.675,64.2,12,4,33.33333333333333,3.325000000000003,0,1,1,0,2,MB 7092
ASKI,201442,37.4,40.90833333333333,66.5,12,2,16.666666666666664,3.0916666666666686,1,2,1,0,4,MB 7092
ASKI,201443,39.8,43.09166666666667,67.1,12,4,33.33333333333333,0.9083333333333314,3,2,2,0,7,MB 7092
ASKI,201444,36,41.925,67,12,3,25,2.075000000000003,0,2,2,0,4,MB 7092
ASKI,201445,37.2,42.50833333333333,61.2,12,0,0,1.4916666666666671,1,1,2,1,5,MB 7092
ASKI,201446,41.7,45.641666666666666,73.6,12,2,16.666666666666664,1.6416666666666657,4,3,2,0,9,MB 7092
ASKI,201447,35.2,39.4125,66.2,8,0,0,4.587499999999999,0,2,1,1,4,MB 7092
ASKI,201448,35.8,41.05,74.2,12,2,16.666666666666664,2.950000000000003,0,3,2,0,5,MB 7092
ASKI,201449,39.5,43.475,78.3,4,4,100,0.5249999999999986,3,3,2,0,8,MB 7092
ASKI,201450,37.8,43.291666666666664,68.9,12,4,33.33333333333333,0.7083333333333357,1,2,2,0,5,MB 7092
ASKI,201452,39.7,40.825,77.6,4,2,50,3.174999999999997,3,3,1,0,7,MB 7092
ASKI,201501,37.5,40.89,72.5,10,4,40,3.1099999999999994,1,3,1,0,5,MB 7092
ASKI,201502,35.2,39.43333333333334,69.5,12,8,66.66666666666666,4.566666666666663,0,2,1,0,3,MB 7092
ASKI,201503,34,42.44166666666666,75,12,2,16.666666666666664,1.5583333333333371,0,3,2,0,5,MB 7092
ASKI,201504,40.3,43.425,74.1,12,4,33.33333333333333,0.5750000000000028,4,3,2,0,9,MB 7092
ASKI,201505,40.3,43.425,74.1,12,4,33.33333333333333,0.5750000000000028,4,3,2,0,9,MB 7092
ASKI,201506,39.9,42.833333333333336,80.2,12,1,8.333333333333332,1.1666666666666643,3,3,2,0,8,MB 7092
ASKI,201507,40.9,44.11666666666667,77.6,12,3,25,0.11666666666666714,4,3,2,0,9,MB 7092
ASKI,201508,41,45.625,79.9,12,8,66.66666666666666,1.625,4,3,2,0,9,MB 7092
ASKI,201509,40.8,46.19166666666666,80.6,12,1,8.333333333333332,2.191666666666663,4,3,2,0,9,MB 7092
ASKI,201510,41,45.641666666666666,83.6,12,2,16.666666666666664,1.6416666666666657,4,3,2,0,9,MB 7092
ASKI,201511,39.1,43.44166666666666,81.5,12,10,83.33333333333334,0.5583333333333371,3,3,2,0,8,MB 7092
ASKI,201512,41.8,45.44166666666667,79.9,12,11,91.66666666666666,1.44166666666667,4,3,2,0,9,MB 7092
ASKI,201513,36.1,41.74166666666667,82.3,12,5,41.66666666666667,2.258333333333333,0,3,2,0,5,MB 7092
ASKI,201514,36.7,41.78333333333333,80.5,12,3,25,2.2166666666666686,0,3,2,0,5,MB 7092
ASKI,201515,40,44.483333333333334,81.4,12,6,50,0.4833333333333343,4,3,2,0,9,MB 7092
ASKI,201516,39.6,45.6,81.5,12,8,66.66666666666666,1.6000000000000014,3,3,2,0,8,MB 7092
ASKI,201517,43.5,49.041666666666664,82.1,12,10,83.33333333333334,5.041666666666664,4,3,1,0,8,MB 7092
ASKI,201518,41.9,47.541666666666664,78,12,9,75,3.5416666666666643,4,3,1,0,8,MB 7092
ASKI,201519,40.9,44.63333333333333,74.5,12,12,100,0.6333333333333329,4,3,2,0,9,MB 7092
ASKI,201520,41.4,49.03333333333333,80.9,12,9,75,5.033333333333331,4,3,1,0,8,MB 7092
ASKI,201521,42,47.708333333333336,78.7,12,12,100,3.7083333333333357,4,3,1,0,8,MB 7092
ASKI,201522,38.9,45.291666666666664,80.2,12,6,50,1.2916666666666643,2,3,2,0,7,MB 7092
ASKI,201523,41.6,45.80833333333333,76.3,12,6,50,1.80833333333333,4,3,2,0,9,MB 7092
ASKI,201524,39.1,45.141666666666666,77.2,12,8,66.66666666666666,1.1416666666666657,3,3,2,0,8,MB 7092
ASKI,201525,40.2,44.708333333333336,75.6,12,5,41.66666666666667,0.7083333333333357,4,3,2,0,9,MB 7092
ASKI,201526,34,44.49166666666667,76.6,12,5,41.66666666666667,0.49166666666666714,0,3,2,0,5,MB 7092
ASKI,201527,36.1,43.9,81.2,12,11,91.66666666666666,0.10000000000000142,0,3,2,0,5,MB 7092
ASKI,201528,28.6,41.68333333333334,81.1,12,2,16.666666666666664,2.316666666666663,0,3,2,0,5,MB 7092
ASKI,201529,33.1,41,73.5,12,12,100,3,0,3,2,0,5,MB 7092
ASKI,201530,37.3,41.275,74.4,12,12,100,2.7250000000000014,1,3,2,0,6,MB 7092
ASKI,201531,36.3,42.4,75.4,12,4,33.33333333333333,1.6000000000000014,0,3,2,0,5,MB 7092
ASKI,201532,36.8,42.391666666666666,75.4,12,12,100,1.6083333333333343,0,3,2,0,5,MB 7092
ASKI,201533,37.1,43.16666666666667,71.7,12,3,25,0.8333333333333286,1,3,2,0,6,MB 7092
ASKI,201534,38.3,44.208333333333336,78.9,12,8,66.66666666666666,0.2083333333333357,2,3,2,0,7,MB 7092
ASKI,201535,43,45.65,75.7,12,1,8.333333333333332,1.6499999999999986,4,3,2,0,9,MB 7092
ASKI,201536,40.5,44.858333333333334,70.7,12,12,100,0.8583333333333343,4,3,2,0,9,MB 7092
ASKI,201537,34.5,44.875,73,12,8,66.66666666666666,0.875,0,3,2,0,5,MB 7092
ASKI,201538,38.7,43.05833333333334,75.7,12,2,16.666666666666664,0.9416666666666629,2,3,2,0,7,MB 7092
ASKI,201539,33.8,43.108333333333334,71.8,12,0,0,0.8916666666666657,0,3,2,1,6,MB 7092
ASKI,201540,37.5,42.1,74.9,12,10,83.33333333333334,1.8999999999999986,1,3,2,0,6,MB 7092
ASKI,201542,41.2,45.40833333333333,67.9,12,9,75,1.4083333333333314,4,2,2,0,8,MB 7092
ASKI,201543,35.2,41.891666666666666,75,12,9,75,2.1083333333333343,0,3,2,0,5,MB 7092
ASKI,201544,32.4,43.94166666666666,78.6,12,9,75,0.05833333333333712,0,3,2,0,5,MB 7092
ASKI,201545,36.6,41.80833333333333,67.6,12,2,16.666666666666664,2.19166666666667,0,2,2,0,4,MB 7092
ASKI,201546,38.4,41.425,73.5,12,10,83.33333333333334,2.575000000000003,2,3,2,0,7,MB 7092
ASKI,201547,38.9,43.458333333333336,68.8,12,12,100,0.5416666666666643,2,2,2,0,6,MB 7092
