Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001171019,2024-02-14,WP,5D 2B PCAI PX,850,26.6,26.68,US,0.152,53.35,351,NA,85,607_17_747,111.08,MB 7081
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001171151,2024-02-19,AC,5D 2B PCAI PX,510,18,18,US,0.12,36,300,NA,85,607_17_747,110.709,MB 7081
MB 7081,2106616,SPG240,CULLED,2024-02-05,2024-03-12,40,109.04304302236616,MB 7081,20001171388,2024-02-28,AE,5D 2B PCAI PX,706,22.2,22.28,US,0.15,44.55,297,NA,85,607_17_747,110.51,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001171406,2024-02-28,NA,NA,NA,0,0,NC,0,0,0,NA,0,607_17_747,106.569,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001171462,2024-03-01,WP,5D 2B PCAI PX,2332,67,67.03,US,0.196,134.06,684,NA,85,607_17_747,106.569,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001171187,2024-02-21,AE,5D 2B PCAI PX,1448,41.4,41.48,US,0.198,82.96,419,NA,85,607_17_747,106.3,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001170892,2024-02-09,NA,NA,NA,0,0,NC,0,0,0,NA,0,607_17_747,105.14,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001170967,2024-02-12,AE,5D 2B PCAI PX,NA,0,0,TR,0.1,20,200,22,65,607_17_747,105.25,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001171629,2024-03-08,AE,5D 2B PCAI PX,2538,67,67.17,US,0.277,134.34,485,NA,85,607_17_747,106,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001171782,2024-03-13,AE,5D 2B PCAI PX,NA,0,0,TR,0.1,10,100,27,75,607_17_747,105.97,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001172013,2024-03-22,AE,5D 2B PCAI PX,1763,48.9,48.94,US,0.223,97.89,439,NA,85,607_17_747,105.84,MB 7081
MB 7081,2106650,SPG240,WORKING,2024-02-05,NA,NA,106.51310153686661,MB 7081,20001172196,2024-03-29,AC,5D 2B PCAI PX,1227,37.5,37.67,US,0.161,75.34,468,NA,85,607_17_747,106.37,MB 7081
