Boar Stud,Breed.x,actual,target,Missed Index,WeekCommencing
SPGNC,SPG110,236.2782546,236.8483323,0.570077704,5/13/2019
SPGNC,SPG120,245.4506117,246.3103314,0.859719737,5/13/2019
SPGNC,SPG240,126.9606232,127.1832087,0.222585429,5/13/2019
SPGVA,SPG110,235.0077677,236.4550021,1.447234396,5/13/2019
SPGVA,SPG120,241.8740271,243.7165148,1.842487705,5/13/2019
SPGVA,SPG240,126.6635304,127.1503886,0.486858218,5/13/2019
Clinton,OTHER,NA,NA,NA,5/20/2019
Clinton,SPG120,NA,NA,NA,5/20/2019
Clinton,SPG240,NA,NA,NA,5/20/2019
GCM7-4,SPG110,236.1408443,239.0544366,2.913592297,5/20/2019
GCM7-4,SPG120,237.761249,241.7711755,4.009926541,5/20/2019
GCM7-4,SPG240,124.1794286,125.1137575,0.934328844,5/20/2019
GCM7-4,SPG283,NA,NA,NA,5/20/2019
High Desert,SPG110,224.80675,224.80675,0,5/20/2019
High Desert,SPG120,234.9709663,235.0117847,0.040818411,5/20/2019
High Desert,SPG240,125.2770691,125.2784913,0.001422182,5/20/2019
Ingold,OTHER,NA,NA,NA,5/20/2019
Ingold,SPG240,124.4261336,124.5741977,0.148064059,5/20/2019
MB 7081,SPG120,240.0862629,240.3358677,0.249604789,5/20/2019
MB 7081,SPG240,124.3984978,124.5779686,0.179470766,5/20/2019
MB 7082,SPG120,237.8754465,238.2380202,0.362573704,5/20/2019
MB 7082,SPG240,124.3091842,124.3101358,9.52E-04,5/20/2019
MB 7092,SPG240,123.7015575,123.7428742,0.041316742,5/20/2019
MB 7093,SPG240,123.5638061,123.5648546,0.001048532,5/20/2019
MB 7094,SPG240,124.9384851,125.3234096,0.384924536,5/20/2019
MBW Cimarron,SPG110,237.7651884,237.7651884,0,5/20/2019
MBW Cimarron,SPG120,238.2167607,238.2167607,0,5/20/2019
MBW Cimarron,SPG240,124.5843564,124.6690676,0.08471129,5/20/2019
MBW Cyclone,SPG120,237.198464,237.198464,0,5/20/2019
MBW Cyclone,SPG240,124.4010729,124.4010729,0,5/20/2019
MBW Illinois,SPG110,235.9715013,235.9715013,0,5/20/2019
MBW Illinois,SPG120,236.5406643,236.5406643,0,5/20/2019
MBW Yuma,SPG110,232.385782,234.7094368,2.32365485,5/20/2019
MBW Yuma,SPG120,236.3472678,236.3472678,0,5/20/2019
MBW Yuma,SPG240,124.4135503,124.5727099,0.15915962,5/20/2019
Norson,OTHER,NA,NA,NA,5/20/2019
Norson,SPG240,123.0389425,123.2366145,0.197671965,5/20/2019
Prestage MS,SPG110,225.8920135,227.532951,1.640937507,5/20/2019
Prestage MS,SPG120,234.5442946,236.8526692,2.308374591,5/20/2019
Prestage MS,SPG240,124.1322925,124.4174673,0.285174765,5/20/2019
Princeton,SPG110,230.385969,231.4217852,1.035816187,5/20/2019
Princeton,SPG120,240.6307455,240.6307455,0,5/20/2019
Princeton,SPG240,124.2606628,124.3368693,0.076206464,5/20/2019
Skyline Boar Stud,SPG110,225.2390497,228.8370257,3.597975922,5/20/2019
