Boar Stud,BoarID,Breed.x,Boar Status,Collnum,Col_Date,Collected,Collection Status,Distributed,Index
MB 7092,2177J,SPG240,WORKING,20001336639,2021-02-23,YES,US,YES,107.80882773214238
MB 7092,8355C,SPG240,WORKING,20001336696,2021-02-24,YES,US,YES,107.79325234548405
MB 7092,5575G,SPG240,WORKING,20001336893,2021-02-28,YES,US,YES,107.74670401677378
MB 7092,2004780,SPG240,WORKING,20001336855,2021-02-26,YES,US,YES,107.65616732721502
MB 7092,1853J,SPG240,NONWORKING,20001336659,2021-02-23,YES,TR,NO,107.63729401195776
MB 7092,625K1,SPG240,WORKING,20001336873,2021-02-28,YES,US,YES,107.61923399691199
MB 7092,2606F,SPG240,WORKING,20001336779,2021-02-25,YES,US,YES,107.55222486796238
MB 7092,9063F,SPG240,WORKING,20001336884,2021-02-28,YES,US,YES,107.45000754821172
MB 7092,6928E,SPG240,WORKING,20001336783,2021-02-25,YES,US,YES,107.34849608644518
MB 7092,8761A,SPG240,WORKING,20001336856,2021-02-26,YES,US,YES,107.22924243661555
MB 7092,5617E,SPG240,WORKING,20001336901,2021-02-28,YES,TR,NO,107.15660863097081
MB 7092,2004652,SPG240,WORKING,20001336920,2021-02-28,YES,US,YES,107.13151286223145
MB 7092,7076C,SPG240,WORKING,20001336766,2021-02-25,YES,US,YES,107.05974567436691
MB 7092,1212H,SPG240,WORKING,20001336625,2021-02-23,YES,US,YES,107.03607923410787
MB 7092,2004769,SPG240,WORKING,20001336861,2021-02-26,YES,TR,NO,106.68483448428336
MB 7092,635J6,SPG240,WORKING,20001336765,2021-02-25,YES,US,YES,106.67084441596378
MB 7092,170J8,SPG240,WORKING,20001336640,2021-02-23,YES,US,YES,106.65460057616639
MB 7092,3779F,SPG240,WORKING,20001336591,2021-02-22,YES,US,YES,106.49485961309834
MB 7092,5294H,SPG240,WORKING,20001336858,2021-02-26,YES,US,YES,106.41500664637122
MB 7092,2004741,SPG240,WORKING,20001336624,2021-02-23,YES,US,YES,106.35638450050571
MB 7092,4565F,SPG240,WORKING,20001336596,2021-02-22,YES,US,YES,106.16675119893891
MB 7092,2254C,SPG240,WORKING,20001336774,2021-02-25,YES,US,YES,106.06760059735753
MB 7092,2254C,SPG240,WORKING,20001336763,2021-02-25,YES,US,YES,106.06760059735753
MB 7092,4283F,SPG240,WORKING,20001336768,2021-02-25,YES,US,YES,105.98899338602641
