Boar Stud,BoarID.x,Breed.x.x,Boar Status.x,Col_Date.x,Collected.x,Collection Status.x,Distributed.x,Index.x,Included.x,Needed,Actual
MB 7082,64426,PICL02,WORKING,2024-04-28,YES,US,NO,126,YES,39,NA
MB 7082,70273,PICL02,WORKING,2024-04-28,YES,US,NO,126,YES,39,NA
SPGVA,58350,PICL02,WORKING,2024-04-26,YES,US,YES,125,YES,63,1
SPGVA,58352,PICL02,WORKING,2024-04-26,YES,US,YES,125,YES,63,1
SPGVA,58517,PICL02,WORKING,2024-04-26,YES,TR,NO,125,YES,63,1
MB 7082,70332,PICL02,WORKING,2024-04-26,YES,US,YES,125,YES,39,1
MB 7082,70346,PICL02,WORKING,2024-04-23,YES,US,NO,125,YES,39,NA
SPGVA,58510,PICL02,WORKING,2024-04-26,YES,US,YES,124,YES,63,1
SPGVA,58518,PICL02,WORKING,2024-04-26,YES,US,YES,124,YES,63,1
MB 7081,64214,PICL02,WORKING,2024-04-26,YES,US,YES,124,YES,45,1
MB 7082,70250,PICL02,WORKING,2024-04-28,YES,US,NO,124,YES,39,NA
MB 7081,64211,PICL02,WORKING,2024-04-26,YES,US,YES,123,YES,45,1
SPGVA,58342,PICL02,WORKING,2024-04-26,YES,US,YES,122,YES,63,1
SPGVA,58347,PICL02,WORKING,2024-04-26,YES,US,YES,122,YES,63,1
SPGVA,58514,PICL02,WORKING,2024-04-27,YES,US,NO,122,YES,63,NA
MB 7081,64411,PICL02,WORKING,2024-04-26,YES,TR,NO,122,YES,45,1
MB 7081,64452,PICL02,WORKING,NA,NO,NA,NO,122,YES,45,NA
MB 7082,70355,PICL02,WORKING,2024-04-23,YES,US,NO,122,YES,39,NA
SPGVA,58075,PICL02,WORKING,2024-04-26,YES,US,YES,121,YES,63,1
SPGVA,58402,PICL02,WORKING,2024-04-26,YES,US,YES,121,YES,63,1
SPGVA,58405,PICL02,WORKING,2024-04-26,YES,US,YES,121,YES,63,1
MB 7081,64074,PICL02,WORKING,NA,NO,NA,NO,121,YES,45,NA
SPGVA,58410,PICL02,WORKING,2024-04-27,YES,US,NO,120,YES,63,NA
SPGVA,58425,PICL02,WORKING,2024-04-27,YES,US,NO,120,YES,63,NA
SPGVA,58483,PICL02,WORKING,2024-04-23,YES,US,NO,120,YES,63,NA
MB 7081,64392,PICL02,WORKING,NA,NO,NA,NO,120,YES,45,NA
MB 7082,64436,PICL02,WORKING,2024-04-23,YES,US,NO,120,YES,39,NA
MB 7082,70432,PICL02,WORKING,2024-04-28,YES,US,NO,120,YES,39,NA
MB 7082,70444,PICL02,WORKING,2024-04-23,YES,US,NO,120,NO,39,NA
MB 7082,70444,PICL02,WORKING,2024-04-27,YES,US,NO,120,YES,39,NA
SPGVA,58348,PICL02,WORKING,2024-04-27,YES,US,NO,119,YES,63,NA
SPGVA,58493,PICL02,WORKING,2024-04-23,YES,US,NO,119,YES,63,NA
SPGVA,58476,PICL02,WORKING,2024-04-27,YES,US,NO,118,YES,63,NA
MB 7081,64213,PICL02,WORKING,NA,NO,NA,NO,118,YES,45,NA
MB 7082,70437,PICL02,WORKING,2024-04-28,YES,US,NO,118,YES,39,NA
SPGVA,58421,PICL02,WORKING,2024-04-23,YES,US,NO,116,YES,63,NA
SPGVA,58486,PICL02,WORKING,2024-04-23,YES,US,NO,116,YES,63,NA
SPGVA,58225,PICL02,WORKING,2024-04-27,YES,US,NO,115,YES,63,NA
SPGVA,58407,PICL02,WORKING,2024-04-23,YES,US,NO,115,YES,63,NA
MB 7082,70362,PICL02,WORKING,2024-04-23,YES,US,NO,115,NO,39,NA
MB 7082,70362,PICL02,WORKING,2024-04-27,YES,US,NO,115,YES,39,NA
SPGVA,58074,PICL02,WORKING,2024-04-23,YES,US,NO,114,YES,63,NA
SPGVA,58249,PICL02,WORKING,2024-04-23,YES,TR,NO,114,YES,63,0
MB 7081,64383,PICL02,WORKING,NA,NO,NA,NO,114,YES,45,NA
SPGVA,58151,PICL02,WORKING,2024-04-23,YES,US,NO,113,YES,63,NA
SPGVA,58246,PICL02,WORKING,2024-04-23,YES,TR,NO,113,YES,63,0
MB 7081,64366,PICL02,WORKING,NA,NO,NA,NO,113,YES,45,NA
MB 7082,70379,PICL02,WORKING,2024-04-25,YES,US,NO,113,YES,39,NA
SPGVA,58495,PICL02,WORKING,2024-04-24,YES,TR,NO,112,YES,63,0
MB 7082,70404,PICL02,WORKING,2024-04-27,YES,US,NO,112,YES,39,NA
MB 7081,64387,PICL02,WORKING,NA,NO,NA,NO,109,YES,45,NA
MB 7082,70400,PICL02,WORKING,2024-04-23,YES,US,NO,109,YES,39,NA
MB 7082,70405,PICL02,WORKING,2024-04-27,YES,US,NO,109,NO,39,NA
MB 7082,70405,PICL02,WORKING,2024-04-23,YES,US,NO,109,YES,39,NA
MB 7082,70398,PICL02,WORKING,2024-04-23,YES,US,NO,108,YES,39,NA
MB 7081,64289,PICL02,WORKING,2024-04-26,YES,US,YES,107,YES,45,1
MB 7081,64360,PICL02,WORKING,2024-04-26,YES,US,YES,107,YES,45,1
MB 7082,70402,PICL02,WORKING,2024-04-23,YES,US,NO,107,YES,39,NA
SPGVA,58417,PICL02,WORKING,2024-04-24,YES,US,NO,105,YES,63,NA
SPGVA,58488,PICL02,WORKING,2024-04-24,YES,US,NO,100,YES,63,NA
MB 7082,70492,PICL03,WORKING,2024-04-24,YES,US,YES,174,YES,17,1
MB 7082,70430,PICL03,WORKING,2024-04-22,YES,US,YES,170,YES,17,1
MB 7082,64433,PICL03,WORKING,2024-04-24,YES,US,YES,158,YES,17,1
MB 7082,70494,PICL03,WORKING,2024-04-22,YES,US,YES,158,YES,17,1
MB 7082,70490,PICL03,WORKING,2024-04-22,YES,US,YES,157,YES,17,1
MB 7081,64404,PICL03,WORKING,2024-04-26,YES,US,YES,156,YES,17,1
MB 7082,70403,PICL03,WORKING,2024-04-26,YES,US,YES,154,YES,17,1
MB 7082,70456,PICL03,WORKING,2024-04-26,YES,US,YES,154,YES,17,1
MB 7082,70491,PICL03,WORKING,2024-04-22,YES,US,YES,150,YES,17,1
MB 7082,70466,PICL03,WORKING,2024-04-26,YES,US,YES,149,YES,17,1
MB 7081,64364,PICL03,WORKING,2024-04-26,YES,US,YES,148,YES,17,1
MB 7082,70493,PICL03,WORKING,2024-04-22,YES,US,YES,148,YES,17,1
MB 7082,70482,PICL03,WORKING,2024-04-26,YES,TR,NO,144,YES,17,1
MB 7082,70487,PICL03,WORKING,2024-04-22,YES,US,YES,144,YES,17,1
MB 7081,64390,PICL03,WORKING,2024-04-26,YES,US,YES,142,YES,17,1
MB 7082,70484,PICL03,WORKING,2024-04-26,YES,US,YES,141,YES,17,1
