Boar Stud,Inventory,Target,Inventory to target,actual,target,Missed Index,WeekCommencing,yrwk,Average Days Rest,Standard Deviation,Total Boars,Boars Trained Within 14 Days,Percent Trained,Semen Quality Cull Errors,Will Not Train Errors,Index Cull Errors,Removal Reason Errors,IScore,TScore,RScore,CScore,Total
MB 7094,467,450,103.7777778,106.7452845,106.7941346,0.048850083,19492,202320,7.794666667,2.303908173,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,394,399,98.74686717,109.0810373,109.1390276,0.05799032,19492,202320,6.369863014,2.081491232,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,295,403,73.20099256,101.3581782,101.4065573,0.104439371,19492,202320,7.141868512,1.580241928,130,118,90.76923077,0,0,0,0,3,3,2,1,9
MBW Yuma,193,203,95.07389163,106.2684508,106.2684508,0.010204082,19492,202320,6.837662338,1.122967469,73,45,61.64383562,0,0,0,0,4,0,2,1,7
Skyline Boar Stud,174,200,87,101.8057533,101.8057533,0,19492,202320,7.297297297,1.766889189,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,365,0,0,105.571432,105.5862274,0.014795396,19492,202320,8.455938697,4.488765161,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,114.3923783,114.3923783,0,19492,202320,8.547619048,2.490243294,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,274,292,93.83561644,113.2260842,113.2260842,0.02173913,19492,202320,7.361445783,1.975117268,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,104.3945896,104.3945896,0.146551724,19492,202320,7.328467153,1.627473182,61,54,88.52459016,11,0,0,11,3,2,2,0,7
MB 7082,196,200,98,105.1075713,105.1075713,0,19492,202320,7.354285714,1.57573972,66,65,98.48484848,0,0,0,0,4,3,2,1,10
MB 7092,458,250,183.2,105.2446312,105.2508519,0.006220721,19492,202320,8.147757256,2.640609595,145,141,97.24137931,0,0,0,0,4,3,1,1,9
MB 7093,486,450,108,104.1966186,104.2884898,0.091871201,19492,202320,7.82712766,2.787478334,60,60,100,10,0,0,10,4,3,2,0,9
MB 7094,467,450,103.7777778,106.7452845,106.7941346,0.048850083,19492,202320,7.794666667,2.303908173,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,394,399,98.74686717,109.0810373,109.1390276,0.05799032,19492,202320,6.369863014,2.081491232,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,295,403,73.20099256,101.3581782,101.4065573,0.104439371,19492,202320,7.141868512,1.580241928,130,118,90.76923077,0,0,0,0,3,3,2,1,9
MBW Yuma,193,203,95.07389163,106.2684508,106.2684508,0.010204082,19492,202320,6.837662338,1.122967469,73,45,61.64383562,0,0,0,0,4,0,2,1,7
Skyline Boar Stud,174,200,87,101.8057533,101.8057533,0,19492,202320,7.297297297,1.766889189,23,23,100,0,0,0,0,4,3,2,1,10
SPG9644,365,0,0,105.571432,105.5862274,0.014795396,19492,202320,8.455938697,4.488765161,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,114.3923783,114.3923783,0,19492,202320,8.547619048,2.490243294,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,274,292,93.83561644,113.2260842,113.2260842,0.02173913,19492,202320,7.361445783,1.975117268,87,85,97.70114943,0,0,0,0,4,3,2,1,10
MB 7081,184,200,92,103.9503492,103.9503492,0.120689655,19499,202321,9.132947977,4.033250029,61,54,88.52459016,11,0,0,11,3,2,0,0,5
MB 7082,208,200,104,105.556189,105.556189,0.044642857,19499,202321,7.409356725,1.650926708,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,455,250,182,104.9664311,104.9709278,0.00449668,19499,202321,7.873239437,2.757268655,145,141,97.24137931,0,0,0,0,4,3,2,1,10
MB 7093,483,450,107.3333333,104.7906961,104.7983504,0.007654304,19499,202321,7.24744898,1.338966897,60,60,100,0,0,0,0,4,3,2,1,10
MB 7094,464,450,103.1111111,107.0591625,107.0783598,0.019197278,19499,202321,8.477572559,2.908916855,191,190,99.47643979,0,0,0,0,4,3,1,1,9
MBW Cimarron,393,399,98.4962406,108.7350051,108.7915116,0.056506441,19499,202321,7.098404255,1.715310695,100,87,87,0,0,0,0,4,2,2,1,9
MBW Cyclone,294,403,72.9528536,102.8389207,103.8612954,1.20266954,19499,202321,5.699507389,1.865090913,130,118,90.76923077,0,0,0,0,0,3,1,1,5
MBW Yuma,182,203,89.65517241,106.4742721,106.5519249,0.989040167,19499,202321,7.1621621620000004,1.471054294,73,45,61.64383562,0,0,0,0,0,0,2,1,3
Skyline Boar Stud,171,200,85.5,101.1872192,101.1901968,0.002977612,19499,202321,7.1632653060000004,0.453914727,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,363,0,0,104.9163879,104.9867638,0.070375958,19499,202321,8.158273381,3.122664309,50,49,98,0,0,0,0,4,3,1,1,9
SPGNC,214,220,97.27272727,113.7524892,113.7524892,0,19499,202321,8.642857143,3.111280835,86,83,96.51162791,2,0,0,2,4,3,1,0,8
SPGVA,271,292,92.80821918,113.1106013,113.1106013,0.05,19499,202321,7.157657658,1.217299849,57,55,96.49122807,0,0,0,0,4,3,2,1,10
MB 7081,183,200,91.5,103.4369934,103.4369934,0.016,19506,202322,7.578616352,1.923813617,46,42,91.30434783,0,0,0,0,4,3,2,1,10
MB 7082,208,200,104,106.3237224,106.3301817,0.003739552,19506,202322,7.412371134,1.749922736,46,45,97.82608696,0,0,0,0,4,3,2,1,10
MB 7092,535,250,214,105.5868116,105.6521798,0.065368239,19506,202322,8.595930233,3.167268048,77,76,98.7012987,0,0,0,0,4,3,1,1,9
MB 7093,482,450,107.1111111,106.8152773,106.9361532,0.120875945,19506,202322,7.743362832,1.966187978,140,139,99.28571429,0,0,0,0,3,3,2,1,9
MB 7094,457,450,101.5555556,106.7494027,106.7672219,0.017819215,19506,202322,7.94,2.6634209,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,393,399,98.4962406,108.6091897,108.6993443,0.090154617,19506,202322,7.194986072,1.27102538,125,109,87.2,0,0,0,0,4,2,2,1,9
MBW Cyclone,293,403,72.70471464,101.2187441,101.5100137,0.511372269,19506,202322,6.919678715,4.669907773,30,28,93.33333333,0,0,0,0,0,3,2,1,6
MBW Yuma,182,203,89.65517241,105.7623968,105.7623968,0.637168142,19506,202322,6.650306748,1.51752618,109,67,61.46788991,0,0,0,0,0,0,2,1,3
Skyline Boar Stud,171,200,85.5,100.7713681,100.7713681,0,19506,202322,6.807017544,0.597207122,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,359,0,0,104.7098318,104.7594357,0.049603878,19506,202322,7.606741573,3.469365321,50,49,98,0,0,0,0,4,3,2,1,10
SPGNC,214,220,97.27272727,112.858592,112.858592,0,19506,202322,8.543956044,2.900893701,86,83,96.51162791,0,0,0,0,4,3,1,1,9
SPGVA,270,292,92.46575342,113.8029934,113.8029934,0,19506,202322,6.864628821,1.487968551,57,55,96.49122807,0,0,0,0,4,3,2,1,10
MB 7081,196,200,98,104.0327446,104.0442584,0.016878206,19513,202323,7.992647059,2.402148185,46,42,91.30434783,0,0,0,0,4,3,2,1,10
MB 7082,208,200,104,106.3274686,106.3274686,0.166666667,19513,202323,7.612359551,2.080651801,73,72,98.63013699,0,0,0,0,3,3,2,1,9
MB 7092,532,250,212.8,106.6805594,106.69817,0.017610602,19513,202323,8.3657289,3.106115047,77,76,98.7012987,0,0,0,0,4,3,1,1,9
MB 7093,481,450,106.8888889,104.865309,105.0039333,0.138624283,19513,202323,7.565340909,2.77786179,140,139,99.28571429,0,0,0,0,3,3,2,1,9
MB 7094,457,450,101.5555556,106.6791576,106.6950284,0.015870874,19513,202323,9.0625,3.847789369,191,190,99.47643979,0,0,0,0,4,3,0,1,8
MBW Cimarron,392,399,98.24561404,108.3401728,108.4997606,0.159587774,19513,202323,6.535326087,1.27600018,125,109,87.2,0,0,0,0,3,2,2,1,8
MBW Cyclone,388,403,96.27791563,100.6486185,100.6914439,0.134474448,19513,202323,8.993006993,5.984185596,30,28,93.33333333,0,0,0,0,3,3,1,1,8
MBW Yuma,176,203,86.69950739,105.7493857,105.7493857,0.362068966,19513,202323,6.987951807,1.020920273,79,61,77.21518987,0,0,0,0,1,1,2,1,5
Skyline Boar Stud,169,200,84.5,101.1451766,101.1451766,0,19513,202323,7.176829268,1.00267113,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,356,0,0,104.5518464,104.6813495,0.129503163,19513,202323,8.794676806,3.213112773,50,49,98,1,0,0,1,3,3,1,0,7
SPGNC,203,220,92.27272727,113.940423,113.940423,0,19513,202323,8.073333333,2.279457921,58,56,96.55172414,6,0,0,6,4,3,1,0,8
SPGVA,269,292,92.12328767,113.8549727,113.8549727,0.013333333,19513,202323,7.162995595,1.331990929,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,195,200,97.5,106.3715478,106.4745746,0.085375271,19520,202324,8.41025641,3.26441576,46,42,91.30434783,0,0,0,0,4,3,1,1,9
MB 7082,207,200,103.5,105.7349428,105.7349428,0.014705882,19520,202324,7.732984293,2.279637782,73,72,98.63013699,0,0,0,0,4,3,2,1,10
MB 7092,484,250,193.6,106.7831638,106.7925545,0.009390723,19520,202324,8.506297229,3.098237629,164,163,99.3902439,6,0,0,6,4,3,1,0,8
MB 7093,476,450,105.7777778,104.9383487,105.0115816,0.073232942,19520,202324,9.454987835,3.620375023,140,139,99.28571429,0,0,0,0,4,3,0,1,8
MB 7094,454,450,100.8888889,106.5237665,106.5729273,0.049160755,19520,202324,7.92238806,2.395093594,191,190,99.47643979,0,0,0,0,4,3,2,1,10
MBW Cimarron,388,399,97.24310777,108.1818525,108.2395096,0.057657083,19520,202324,6.465020576,1.749206048,125,109,87.2,0,0,2,2,4,2,2,0,8
MBW Cyclone,388,403,96.27791563,103.8813458,103.9522752,0.120299676,19520,202324,7.494011976,1.970875039,30,28,93.33333333,0,0,0,0,3,3,2,1,9
MBW Yuma,171,203,84.2364532,105.3066417,105.3066417,0.080357143,19520,202324,7.012195122,1.379018077,79,61,77.21518987,0,0,0,0,4,1,2,1,8
Skyline Boar Stud,168,200,84,100.4615635,100.4615635,0,19520,202324,6.788819876,0.492569004,26,26,100,0,0,0,0,4,3,2,1,10
SPG9644,354,0,0,104.9750794,105.2656039,0.290524502,19520,202324,8.7389937110000009,2.787611439,50,49,98,1,0,0,1,2,3,1,0,6
SPGNC,200,220,90.90909091,113.5646394,113.5646394,0,19520,202324,7.841463415,2.288780382,58,56,96.55172414,6,0,0,6,4,3,2,0,9
SPGVA,268,292,91.78082192,113.7985437,113.7985437,0,19520,202324,6.944915254,1.683820249,84,82,97.61904762,0,0,0,0,4,3,2,1,10
MB 7081,192,200,96,106.8176614,106.9528245,0.091717795,19527,202325,8.183006536,2.490608435,77,71,92.20779221,0,0,0,0,4,3,1,1,9
MB 7082,204,200,102,105.3279771,105.3279771,0,19527,202325,7.23,1.502794716,73,72,98.63013699,0,0,0,0,4,3,2,1,10
MB 7092,481,250,192.4,106.6820976,106.6828248,7.27e-4,19527,202325,8.357843137,2.672893739,164,163,99.3902439,3,0,0,3,4,3,1,0,8
MB 7093,476,450,105.7777778,103.3529196,103.3913566,0.038437073,19527,202325,7.010666667,2.551060036,140,139,99.28571429,0,0,0,0,4,3,2,1,10
MB 7094,454,450,100.8888889,106.8898979,106.8931559,0.003257974,19527,202325,9.140401146,3.56472192,191,190,99.47643979,0,0,0,0,4,3,0,1,8
MBW Cimarron,384,399,96.2406015,108.1499962,108.2741108,0.12411455,19527,202325,9.019685039,3.943725479,25,22,88,0,0,4,4,3,2,0,0,5
