Boar Stud.x,BoarID,Breed,Boar Status,Date_Arrival,Date_Studout,Dispose_Code,Index,Boar Stud.y,Collnum,Col_Date,Tech,Ext_Name,Tot_Ext_Vol,Used_Doses,Dose_Actual,Collection Status,Sperm_Conc,Tot_Sperm,Sem_Vol_Used,TRCODE,Motility,Ext_Batch_Num,EBV,Boar Stud,cutoff,train
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001095062,2021-01-28,W,PRIMXCELL,0,26.7,26.79,US,0.26,61.62,237,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001094807,2021-01-18,G,NUTRIXCELL,0,30.7,30.8,US,0.349,70.84,203,NA,85,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001094648,2021-01-11,W,NUTRIXCELL,0,39,39.08,US,0.361,89.88,249,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001094504,2021-01-04,S,NUTRIXCELL,0,26.8,26.9,US,0.382,61.88,162,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001094356,2020-12-29,W,PRIMXCELL,0,34.4,34.44,US,0.326,79.21,243,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001092212,2020-09-28,W,NUTRIXCELL,0,23.6,23.66,US,0.249,47.31,190,NA,80,NA,109,Clinton,2020-10-08,1
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001092366,2020-10-05,W,NUTRIXCELL,0,24.7,24.75,US,0.245,49.49,202,NA,80,NA,109,Clinton,2020-10-08,1
Clinton,4128H,SPG240,WORKING,2020-09-24,NA,NA,111.06700591149789,Clinton,20001095799,2021-02-25,GS,NUTRIXCELL,0,51.4,51.47,US,0.543,118.37,218,NA,80,NA,109,Clinton,2020-10-08,0
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001092235,2020-09-29,W,PRIMXCELL,0,24.3,24.41,US,0.317,48.81,154,NA,80,NA,109,Clinton,2020-10-08,1
Clinton,4482H,SPG240,WORKING,2020-09-24,NA,NA,109.32131612181743,Clinton,20001095343,2021-02-05,W,NUTRIXCELL,0,27,27.08,US,0.36,62.28,173,NA,80,NA,109,Clinton,2020-10-08,0
