Employee Home Business Unit,Employee Home Business Unit Desc.,Employee Number,Employee Job Type Description,Pay Per Date,Pay Type,Pay Type Description,Hours,Employee Pay Class Description
7082,Laurel Hill Boar Stud,3372352,Herdsperson Trainee/Laborer,10/29/2023,12,Premium,10.62,Hourly
7082,Laurel Hill Boar Stud,3437032,Herdsperson Trainee/Laborer,10/29/2023,1,Regular,87.23,Hourly
7082,Laurel Hill Boar Stud,3437032,Herdsperson Trainee/Laborer,10/29/2023,12,Premium,13.82,Hourly
7092,Askin Boar Stud,714927,Boar Stud Mgr.,10/29/2023,1,Regular,80,Salaried
7092,Askin Boar Stud,714927,Boar Stud Mgr.,11/2/2023,553,Qrtly Bonus,,Salaried
7092,Askin Boar Stud,1123529,Production Mgr Trainee 2 Cert,10/29/2023,1,Regular,86.05,Hourly
7092,Askin Boar Stud,1123529,Production Mgr Trainee 2 Cert,10/29/2023,12,Premium,9.08,Hourly
7092,Askin Boar Stud,1123529,Production Mgr Trainee 2 Cert,10/29/2023,99,PTO,19.2,Hourly
7092,Askin Boar Stud,1123529,Production Mgr Trainee 2 Cert,11/2/2023,553,Qrtly Bonus,,Hourly
7092,Askin Boar Stud,1165047,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,85.83,Hourly
7092,Askin Boar Stud,1165047,Production Mgr Trainee 1 Certf,10/29/2023,12,Premium,21.48,Hourly
7092,Askin Boar Stud,1165047,Production Mgr Trainee 1 Certf,10/29/2023,99,PTO,19.2,Hourly
7092,Askin Boar Stud,1165047,Production Mgr Trainee 1 Certf,11/2/2023,553,Qrtly Bonus,,Hourly
7092,Askin Boar Stud,3341671,Production Mgr Trainee 2 Cert,10/29/2023,1,Regular,86.47,Hourly
7092,Askin Boar Stud,3341671,Production Mgr Trainee 2 Cert,10/29/2023,12,Premium,12.52,Hourly
7092,Askin Boar Stud,3341671,Production Mgr Trainee 2 Cert,10/29/2023,99,PTO,11.6,Hourly
7092,Askin Boar Stud,3341671,Production Mgr Trainee 2 Cert,11/2/2023,553,Qrtly Bonus,,Hourly
7092,Askin Boar Stud,3369301,Production Mgr Trainee 1 Certf,10/29/2023,1,Regular,92.77,Hourly
